wavelength,Red,Green,Blue
300,0,0,0
310,0,0,0
320,0,0,0
330,0,0,0
340,0,0,0
350,0,0,0
360,0,0,0
370,0,0,0
380,0,0,0
390,0,0,1
400,0,0,10
410,0,0,100
420,0,0,1000
430,0,0,100
440,0,0,10
450,0,0,1
460,0,0,0
470,0,0,0
480,0,0,0
490,0,1,0
500,0,10,0
510,0,100,0
520,0,1000,0
530,0,10000,0
540,0,1000,0
550,0,100,0
560,0,1,0
570,0,0,0
580,0,0,0
590,0,0,0
600,0,0,0
610,0,0,0
620,0,0,0
630,0,0,0
640,10,0,0
650,100,0,0
660,1000,0,0
670,100,0,0
680,10,0,0
690,0,0,0
700,0,0,0
710,0,0,0
720,0,0,0
730,0,0,0
740,0,0,0
750,0,0,0
760,0,0,0
770,0,0,0
780,0,0,0
790,0,0,0
800,0,0,0
